Time,Signal_Type,Value
65418.1,CAUDAL_ACTUADOR,58.2379
65748.1,CAUDAL_ACTUADOR,68.2108
65754,ALARMA_MEDIA,-5
65759,ALARMA_CRITICA,-6
65759,CAUDAL_ACTUADOR,0
65789,ALARMA_CRITICA,-6
65799,ALARMA_CRITICA,-6
65809,ALARMA_CRITICA,-6
65817,CONFIRMACION_ENFERMERO,-2
65818.3,CAUDAL_ACTUADOR,58.1523
66344.3,CAUDAL_ACTUADOR,65.3328
66942.3,CAUDAL_ACTUADOR,66.2889
66961.3,CAUDAL_ACTUADOR,59.3986
67008.3,FIN_BOLSA,-1
67008.3,ALARMA_BAJA,-4
67034.4,CAUDAL_ACTUADOR,0
67143.3,CONFIRMACION_ENFERMERO,-2
67143.5,CAUDAL_ACTUADOR,57.7186
67374.5,CAUDAL_ACTUADOR,66.1341
67734.5,CAUDAL_ACTUADOR,54.7558
67740,ALARMA_MEDIA,-5
67745,ALARMA_CRITICA,-6
67745.4,CAUDAL_ACTUADOR,0
67775,ALARMA_CRITICA,-6
67785,ALARMA_CRITICA,-6
67795,ALARMA_CRITICA,-6
67805,ALARMA_CRITICA,-6
67815,ALARMA_CRITICA,-6
67825,ALARMA_CRITICA,-6
67835,ALARMA_CRITICA,-6
67845,ALARMA_CRITICA,-6
67855,ALARMA_CRITICA,-6
67865,ALARMA_CRITICA,-6
67875,ALARMA_CRITICA,-6
67885,ALARMA_CRITICA,-6
67895,ALARMA_CRITICA,-6
67905,ALARMA_CRITICA,-6
67915,ALARMA_CRITICA,-6
67925,ALARMA_CRITICA,-6
67935,ALARMA_CRITICA,-6
67945,ALARMA_CRITICA,-6
67955,ALARMA_CRITICA,-6
67965,ALARMA_CRITICA,-6
67975,ALARMA_CRITICA,-6
67985,ALARMA_CRITICA,-6
67995,ALARMA_CRITICA,-6
68005,ALARMA_CRITICA,-6
68015,ALARMA_CRITICA,-6
68025,ALARMA_CRITICA,-6
68035,ALARMA_CRITICA,-6
68045,ALARMA_CRITICA,-6
68055,ALARMA_CRITICA,-6
68065,ALARMA_CRITICA,-6
68075,ALARMA_CRITICA,-6
68085,ALARMA_CRITICA,-6
68095,ALARMA_CRITICA,-6
68105,ALARMA_CRITICA,-6
68115,ALARMA_CRITICA,-6
68125,ALARMA_CRITICA,-6
68135,ALARMA_CRITICA,-6
68145,ALARMA_CRITICA,-6
